threshold,cost_per_10k
0.0,16391839.415827865
0.001,16191782.864581905
0.002,15904670.966762673
0.003,13298139.000734
0.004,12623324.311506322
0.005,10305569.935904516
0.006,10200582.621859431
0.007,10200582.621859431
0.008,10200582.621859431
0.009000000000000001,8038559.02317182
0.01,8038403.741565155
0.011,8038359.102664442
0.012,7569207.038622178
0.013000000000000001,7244616.88900963
0.014,7244500.053570879
0.015,6779150.008919039
0.016,6697216.070463241
0.017,6194127.597852309
0.018000000000000002,6194057.702502292
0.019,6193866.992981509
0.02,6193796.650583026
0.021,6193796.650583026
0.022,6193610.348960373
0.023,5371017.454414723
0.024,4973829.303030428
0.025,4414326.104915495
0.026000000000000002,4414326.104915495
0.027,4414551.4213945735
0.028,4414551.4213945735
0.029,4414163.7192805
0.03,4414163.7192805
0.031,4413972.965055552
0.032,4413972.965055552
0.033,4413872.528032118
0.034,4413872.528032118
0.035,4413836.206021072
0.036000000000000004,4413836.206021072
0.037,4079250.4983450295
0.038,4079250.4983450295
0.039,4079250.4983450295
0.04,4079250.4983450295
0.041,3649607.0539984945
0.042,3650715.2723032692
0.043000000000000003,3650715.2723032692
0.044,3650641.353517073
0.045,3650641.353517073
0.046,3650118.3311978355
0.047,3649953.661573424
0.048,3649666.2311139586
0.049,3630876.775195238
0.05,3630876.775195238
0.051000000000000004,3630876.775195238
0.052000000000000005,3630876.775195238
0.053,3630876.775195238
0.054,3630876.775195238
0.055,3630876.775195238
0.056,3630876.775195238
0.057,3630876.775195238
0.058,3630876.775195238
0.059000000000000004,3630876.775195238
0.06,3630876.775195238
0.061,3484128.3174267835
0.062,3484128.3174267835
0.063,3483905.084453572
0.064,3483905.084453572
0.065,3483905.084453572
0.066,3367407.872199313
0.067,3373660.61655792
0.068,3373660.61655792
0.069,3373660.61655792
0.07,3373660.61655792
0.07100000000000001,3373660.61655792
0.07200000000000001,3373660.61655792
0.073,3373660.61655792
0.074,3373660.61655792
0.075,3373586.6977717243
0.076,3373586.6977717243
0.077,3313258.386886021
0.078,3313258.386886021
0.079,3313258.386886021
0.08,3313258.386886021
0.081,3313258.386886021
0.082,3313258.386886021
0.083,3313258.386886021
0.084,3313258.386886021
0.085,3313258.386886021
0.08600000000000001,3313258.386886021
0.08700000000000001,3313258.386886021
0.088,3313258.386886021
0.089,3313258.386886021
0.09,3313258.386886021
0.091,3313258.386886021
0.092,3313258.386886021
0.093,3313258.386886021
0.094,3313258.386886021
0.095,3313159.4333858346
0.096,3313159.4333858346
0.097,3313159.4333858346
0.098,3313159.4333858346
0.099,3313159.4333858346
0.1,3313159.4333858346
0.101,3312887.919178499
0.10200000000000001,3312887.919178499
0.10300000000000001,3312887.919178499
0.10400000000000001,3312849.986900059
0.105,3312849.986900059
0.106,3312849.986900059
0.107,3312849.986900059
0.108,3312849.986900059
0.109,3312849.986900059
0.11,3312849.986900059
0.111,3312849.986900059
0.112,3312357.630751449
0.113,3312357.630751449
0.114,3312239.945923345
0.115,3312239.945923345
0.116,3287960.5941499076
0.117,3287960.5941499076
0.11800000000000001,3287960.5941499076
0.11900000000000001,3287960.5941499076
0.12,3287938.6420653556
0.121,3287938.6420653556
0.122,3287938.6420653556
0.123,3287938.6420653556
0.124,3287938.6420653556
0.125,3287938.6420653556
0.126,3287938.6420653556
0.127,3287938.6420653556
0.128,3287938.6420653556
0.129,3295394.5069214683
0.13,3295394.5069214683
0.131,3295394.5069214683
0.132,3295394.5069214683
0.133,3295394.5069214683
0.134,3295394.5069214683
0.135,3294779.659493691
0.136,3294779.659493691
0.137,3294779.659493691
0.138,3294779.659493691
0.139,3294779.659493691
0.14,3294779.659493691
0.14100000000000001,3294779.659493691
0.14200000000000002,3321321.5485811937
0.14300000000000002,3321321.5485811937
0.14400000000000002,3321321.5485811937
0.145,3321321.5485811937
0.146,3321321.5485811937
0.147,3321249.865037319
0.148,3321249.865037319
0.149,3321249.865037319
0.15,3321249.865037319
0.151,3321249.865037319
0.152,3321249.865037319
0.153,3321249.865037319
0.154,3321249.865037319
0.155,3321249.865037319
0.156,3321249.865037319
0.157,3321249.865037319
0.158,3321249.865037319
0.159,3321196.4863394727
0.16,3321196.4863394727
0.161,3321196.4863394727
0.162,3321196.4863394727
0.163,3321196.4863394727
0.164,3321196.4863394727
0.165,3321196.4863394727
0.166,3321196.4863394727
0.167,3321196.4863394727
0.168,3321196.4863394727
0.169,3321196.4863394727
0.17,3321196.4863394727
0.171,3342305.2436679383
0.17200000000000001,3342305.2436679383
0.17300000000000001,3342241.421024092
0.17400000000000002,3342241.421024092
0.17500000000000002,3342241.421024092
0.176,3342241.421024092
0.177,3342241.421024092
0.178,3342241.421024092
0.179,3342241.421024092
0.18,3342241.421024092
0.181,3342241.421024092
0.182,3342241.421024092
0.183,3342241.421024092
0.184,3342241.421024092
0.185,3350627.432727841
0.186,3360596.4348654742
0.187,3360596.4348654742
0.188,3360596.4348654742
0.189,3360596.4348654742
0.19,3360596.4348654742
0.191,3360596.4348654742
0.192,3360596.4348654742
0.193,3360596.4348654742
0.194,3360596.4348654742
0.195,3360596.4348654742
0.196,3360596.4348654742
0.197,3360596.4348654742
0.198,3360596.4348654742
0.199,3360596.4348654742
0.2,3360596.4348654742
0.201,3359261.747231428
0.202,3358842.7070309343
0.203,3358842.7070309343
0.20400000000000001,3358842.7070309343
0.20500000000000002,3358842.7070309343
0.20600000000000002,3358842.7070309343
0.20700000000000002,3408144.668301075
0.20800000000000002,3408144.668301075
0.209,3408144.668301075
0.21,3408144.668301075
0.211,3408144.668301075
0.212,3408144.668301075
0.213,3408144.668301075
0.214,3408144.668301075
0.215,3408144.668301075
0.216,3408144.668301075
0.217,3408144.668301075
0.218,3408144.668301075
0.219,3408144.668301075
0.22,3408144.668301075
0.221,3408144.668301075
0.222,3408144.668301075
0.223,3408144.668301075
0.224,3408144.668301075
0.225,3408144.668301075
0.226,3408144.668301075
0.227,3408144.668301075
0.228,3408144.668301075
0.229,3408144.668301075
0.23,3408144.668301075
0.231,3408144.668301075
0.232,3408144.668301075
0.233,3408144.668301075
0.234,3408144.668301075
0.23500000000000001,3408144.668301075
0.23600000000000002,3408144.668301075
0.23700000000000002,3408144.668301075
0.23800000000000002,3408144.668301075
0.23900000000000002,3408144.668301075
0.24,3408144.668301075
0.241,3408144.668301075
0.242,3408144.668301075
0.243,3408144.668301075
0.244,3408144.668301075
0.245,3408144.668301075
0.246,3408144.668301075
0.247,3478369.5892043277
0.248,3478369.5892043277
0.249,3478369.5892043277
0.25,3478369.5892043277
