constant,variant,value,t_cost,t_star_range,cost_optimal_per_10k,headline_per_10k
chargeback_amount_multiplier,-50%,0.5,0.14200000000000002,0.194-0.172,2033805.5294952511,-48814.01077922247
chargeback_amount_multiplier,baseline,1.0,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
chargeback_amount_multiplier,+50%,1.5,0.041,0.074-0.172,4370418.44787417,460879.3700119527
chargeback_fee_inr,-50%,500.0,0.13,0.107-0.263,3215594.662711085,102293.63006928051
chargeback_fee_inr,baseline,1000.0,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
chargeback_fee_inr,+50%,1500.0,0.13,0.107-0.128,3375194.351131852,123206.69268993288
ops_handling_inr,-50%,100.0,0.13,0.107-0.185,3279434.5380793912,110658.85511754174
ops_handling_inr,baseline,200.0,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
ops_handling_inr,+50%,300.0,0.13,0.107-0.161,3311354.4757635454,114841.46764167165
margin_rate,-50%,0.06,0.037,0.057-0.172,2863317.4594585905,392790.0644436213
margin_rate,baseline,0.12,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
margin_rate,+50%,0.18,0.14200000000000002,0.153-0.172,3563600.909401047,-3419.096701107919
churn_probability,-50%,0.025,0.13,0.107-0.127,3274013.652110617,121786.38246539282
churn_probability,baseline,0.05,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
churn_probability,+50%,0.07500000000000001,0.13,0.107-0.213,3316775.3617323195,103713.9402938215
customer_ltv_inr,-50%,1500.0,0.13,0.107-0.127,3274013.652110617,121786.38246539282
customer_ltv_inr,baseline,3000.0,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
customer_ltv_inr,+50%,4500.0,0.13,0.107-0.213,3316775.3617323195,103713.9402938215
support_contact_inr,-50%,50.0,0.13,0.107-0.143,3281140.603714234,118774.30877013085
support_contact_inr,baseline,100.0,0.13,0.107-0.172,3295394.5069214683,112750.16137960693
support_contact_inr,+50%,150.0,0.13,0.107-0.200,3309648.4101287024,106726.013989083
