dimension,segment,rows,fraud_rate,pr_auc,precision,recall,cost_per_10k_inr
ProductCD,C,12109,0.1335370385663556,0.7253611952051382,0.5388795986622074,0.7971552257266543,2008258.8973965475
ProductCD,H,3333,0.05910591059105911,0.5680019433726176,0.45454545454545453,0.6091370558375635,3506315.751575158
ProductCD,W,93669,0.019323362051479144,0.13783759907526708,0.20198675496688742,0.2696132596685083,3584608.7759547555
ProductCD,R,5496,0.04676128093158661,0.825124032108399,0.6265060240963856,0.8093385214007782,2059650.655021834
ProductCD,S,3501,0.05227077977720651,0.4955832371014617,0.5211267605633803,0.40437158469945356,1748454.0417023709
card4,visa,76626,0.03488372093023256,0.4676954137369936,0.4135934166412679,0.5076692854470632,3350420.775347072
card4,mastercard,38355,0.032068830660930775,0.5246810244211535,0.38065843621399176,0.6016260162601627,2687864.998102751
card4,discover,1257,0.08989657915672236,0.3075925705111443,0.23318385650224216,0.46017699115044247,20145792.94991019
card4,american express,1126,0.02930728241563055,0.5828702945236692,0.425531914893617,0.6060606060606061,2540884.5470692716
card6,debit,90095,0.025395415949830736,0.4178099532721984,0.3876570583887657,0.458479020979021,2274427.3550040047
card6,credit,27270,0.06457645764576457,0.5614693537283584,0.4015776263893869,0.6360022714366838,6714050.954269421
amount_band,$25-100,62948,0.029103386922539238,0.48852990241172733,0.4385805277525023,0.5262008733624454,1043396.7590279671
amount_band,$100-250,33222,0.028264403106375294,0.38830430852336456,0.3079608938547486,0.4696485623003195,2719480.0003133514
amount_band,<$25,9461,0.07398795053377022,0.6229519209066733,0.48422090729783035,0.7014285714285714,797971.2173925395
amount_band,$250-1k,10744,0.05016753536857781,0.4440736754764984,0.33007334963325186,0.5009276437847866,14946596.248478439
amount_band,>$1k,1733,0.031159838430467397,0.12013696421159123,0.15476190476190477,0.24074074074074073,37536246.326817654
